Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month
200508,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Deplaned,Other,International,G,79131,Deplaned,79131,2005,August
200508,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Thru / Transit,Other,International,G,4059,Thru / Transit * 2,8118,2005,August
200508,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Enplaned,Other,International,G,7874,Enplaned,7874,2005,August
200508,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,13895,Deplaned,13895,2005,August
200508,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Deplaned,Other,International,G,29236,Deplaned,29236,2005,August
200508,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Thru / Transit,Other,International,G,863,Thru / Transit * 2,1726,2005,August
200508,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Enplaned,Other,International,G,9275,Enplaned,9275,2005,August
200508,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,10685,Deplaned,10685,2005,August
200508,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Deplaned,Other,International,A,2300,Deplaned,2300,2005,August
200509,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,17341,Deplaned,17341,2005,September
200509,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,4412,Thru / Transit * 2,8824,2005,September
200509,Air Canada ,AC,Air Canada ,AC,International,Canada,Enplaned,Other,Terminal 1,B,26120,Enplaned,26120,2005,September
200509,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,4568,Enplaned,4568,2005,September
200509,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,11337,Enplaned,11337,2005,September
